Municipality,ref: ISTAT,Waste type,Quantity,category
Civezzano,4022061,Organic Fraction (t),"429,769",1
Cles,4022062,Organic Fraction (t),"720,130",1
Cloz,4022063,Organic Fraction (t),"73,981",1
Comano Terme,4022228,Organic Fraction (t),"375,619",1
Commezzadura,4022064,Organic Fraction (t),"179,824",1
Conta\',4022242,Organic Fraction (t),"154,621",1
Croviana,4022068,Organic Fraction (t),"74,851",1
Daiano,4022070,Organic Fraction (t),"124,913",1
Dambel,4022071,Organic Fraction (t),"45,392",1
Denno,4022074,Organic Fraction (t),"133,104",1
Dimaro Folgarida,4022233,Organic Fraction (t),"534,708",1
Drena,4022078,Organic Fraction (t),"50,538",1
Dro,4022079,Organic Fraction (t),"505,762",1
Faedo,4022080,Organic Fraction (t),"65,174",1
Fai della Paganella,4022081,Organic Fraction (t),"187,408",1
Fiave,4022083,Organic Fraction (t),"116,361",1
Fierozzo,4022085,Organic Fraction (t),"112,680",1
Folgaria,4022087,Organic Fraction (t),"596,280",1
Fondo,4022088,Organic Fraction (t),"176,446",1
Fornace,4022089,Organic Fraction (t),"129,887",1
Frassilongo,4022090,Organic Fraction (t),"112,540",1
Garniga Terme,4022091,Organic Fraction (t),"53,089",1
Giovo,4022092,Organic Fraction (t),"240,503",1
Giustino,4022093,Organic Fraction (t),"115,182",1
Grigno,4022095,Organic Fraction (t),"159,059",1
Imer,4022097,Organic Fraction (t),"141,096",1
Isera,4022098,Organic Fraction (t),"317,082",1
